# sigma, u, d0, d1
7.991244419197448545e-01 6.894654073061946553e-01 -9.443070001799988011e-01 -4.828842614556811547e-02
8.011152360665181327e-01 6.917260703113018439e-01 -9.426024538260384666e-01 -4.820126184337696768e-02
8.031168523096174905e-01 6.939996644761891043e-01 -9.408945380467234054e-01 -4.811392524102562490e-02
8.051293772623135947e-01 6.962862941752475665e-01 -9.391832458196794908e-01 -4.802641597941542662e-02
8.071528984487565950e-01 6.985860648790341854e-01 -9.374685701286840089e-01 -4.793873369976224541e-02
8.091875043164171721e-01 7.008990831684490663e-01 -9.357505039632113553e-01 -4.785087804357330415e-02
8.112332842482122830e-01 7.032254567492834951e-01 -9.340290403186882751e-01 -4.776284865266019336e-02
8.132903285748296351e-01 7.055652944670000037e-01 -9.323041721967504358e-01 -4.767464516915200651e-02
8.153587285872498924e-01 7.079187063217426967e-01 -9.305758926055253122e-01 -4.758626723550981458e-02
8.174385765494591727e-01 7.102858034835901613e-01 -9.288441945598822080e-01 -4.749771449453942668e-02
8.195299657113751524e-01 7.126666983080475193e-01 -9.271090710817226910e-01 -4.740898658940627397e-02
8.216329903219725672e-01 7.150615043517875025e-01 -9.253705152002441592e-01 -4.732008316364884337e-02
8.237477456426195443e-01 7.174703363886439922e-01 -9.236285199522180633e-01 -4.723100386119296473e-02
8.258743279606297616e-01 7.198933104258607996e-01 -9.218830783822662411e-01 -4.714174832636588292e-02
8.280128346030346531e-01 7.223305437206033464e-01 -9.201341835431486871e-01 -4.705231620391100295e-02
8.301633639505753282e-01 7.247821547967355782e-01 -9.183818284960432177e-01 -4.696270713900221189e-02
8.323260154519186438e-01 7.272482634618696595e-01 -9.166260063108220280e-01 -4.687292077725794398e-02
8.345008896381117536e-01 7.297289908246914480e-01 -9.148667100663511187e-01 -4.678295676475659193e-02
8.366880881372655843e-01 7.322244593125680767e-01 -9.131039328507765118e-01 -4.669281474805106469e-02
8.388877136894821174e-01 7.347347926894426395e-01 -9.113376677618174604e-01 -4.660249437418385182e-02
8.410998701620212570e-01 7.372601160740233084e-01 -9.095679079070521089e-01 -4.651199529070152577e-02
8.433246625647212724e-01 7.398005559582676582e-01 -9.077946464042250252e-01 -4.642131714567059725e-02
8.455621970656735931e-01 7.423562402261748572e-01 -9.060178763815410763e-01 -4.633045958769244077e-02
8.478125810071523993e-01 7.449272981728847220e-01 -9.042375909779685195e-01 -4.623942226591884475e-02
8.500759229218107782e-01 7.475138605240958523e-01 -9.024537833435378742e-01 -4.614820483006727009e-02
8.523523325491475511e-01 7.501160594558023975e-01 -9.006664466396588908e-01 -4.605680693043710111e-02
8.546419208522396671e-01 7.527340286143636705e-01 -8.988755740394062110e-01 -4.596522821792416863e-02
8.569448000347685834e-01 7.553679031369042729e-01 -8.970811587278543220e-01 -4.587346834403800006e-02
8.592610835583192053e-01 7.580178196720587236e-01 -8.952831939023768726e-01 -4.578152696091699475e-02
8.615908861599733681e-01 7.606839164010625876e-01 -8.934816727729606445e-01 -4.568940372134457084e-02
8.639343238702038574e-01 7.633663330591994312e-01 -8.916765885625315136e-01 -4.559709827876581162e-02
8.662915140310627482e-01 7.660652109576099322e-01 -8.898679345072630920e-01 -4.550461028730322377e-02
8.686625753146828277e-01 7.687806930054691401e-01 -8.880557038568984707e-01 -4.541193940177321725e-02
8.710476277420952096e-01 7.715129237325407674e-01 -8.862398898750850629e-01 -4.531908527770320966e-02
8.734467927023611411e-01 7.742620493121168401e-01 -8.844204858396851332e-01 -4.522604757134753017e-02
8.758601929720389867e-01 7.770282175843457040e-01 -8.825974850431204111e-01 -4.513282593970500967e-02
8.782879527349748416e-01 7.798115780799634855e-01 -8.807708807926862837e-01 -4.503942004053509279e-02
8.807301976024424217e-01 7.826122820444298966e-01 -8.789406664108958545e-01 -4.494582953237535178e-02
8.831870546336223482e-01 7.854304824624823711e-01 -8.771068352358011300e-01 -4.485205407455800791e-02
8.856586523564461411e-01 7.882663340831113086e-01 -8.752693806213538430e-01 -4.475809332722831962e-02
8.881451207887854915e-01 7.911199934449718585e-01 -8.734282959377119848e-01 -4.466394695136026438e-02
8.906465914600265599e-01 7.939916189022340198e-01 -8.715835745716106198e-01 -4.456961460877554432e-02
8.931631974330094259e-01 7.968813706508840466e-01 -8.697352099266878467e-01 -4.447509596216017713e-02
8.956950733263542297e-01 7.997894107554872623e-01 -8.678831954238338531e-01 -4.438039067508241231e-02
8.982423553371824410e-01 8.027159031764181663e-01 -8.660275245015423007e-01 -4.428549841201068205e-02
9.008051812642320355e-01 8.056610137975694919e-01 -8.641681906162574922e-01 -4.419041883833134399e-02
9.033836905313820109e-01 8.086249104545518707e-01 -8.623051872427195397e-01 -4.409515162036633379e-02
9.059780242116011184e-01 8.116077629633893231e-01 -8.604385078743352899e-01 -4.399969642539214298e-02
9.085883250513068221e-01 8.146097431497263397e-01 -8.585681460235169427e-01 -4.390405292165711765e-02
9.112147374951702350e-01 8.176310248785537693e-01 -8.566940952220454264e-01 -4.380822077840004769e-02
9.138574077113619243e-01 8.206717840844646172e-01 -8.548163490214408800e-01 -4.371219966586913780e-02
9.165164836172424723e-01 8.237321988024538522e-01 -8.529349009933075987e-01 -4.361598925533959059e-02
9.191921149055235496e-01 8.268124491992675518e-01 -8.510497447297100670e-01 -4.351958921913288980e-02
9.218844530708968366e-01 8.299127176053207045e-01 -8.491608738435388881e-01 -4.342299923063550754e-02
9.245936514371426718e-01 8.330331885471888853e-01 -8.472682819688754918e-01 -4.332621896431749359e-02
9.273198651847301965e-01 8.361740487806901267e-01 -8.453719627613576204e-01 -4.322924809575123817e-02
9.300632513789268696e-01 8.393354873245671977e-01 -8.434719098985707930e-01 -4.313208630163145596e-02
9.328239689984065830e-01 8.425176954947853902e-01 -8.415681170803996913e-01 -4.303473325979317171e-02
