# sigma, d0, d1
1.439394186305179346e+00 -1.029920195584198783e+00 4.418121046665442475e-01
1.433006383067483736e+00 -1.033173799181621888e+00 4.432391604095938242e-01
1.426687232642015912e+00 -1.036410624385733614e+00 4.446589931151921360e-01
1.420435616333830753e+00 -1.039630795109475425e+00 4.460716545102030306e-01
1.414250439445646546e+00 -1.042834434405435662e+00 4.474771959847876901e-01
1.408130630630689550e+00 -1.046021664459875877e+00 4.488756685964697679e-01
1.402075141279858661e+00 -1.049192606591681676e+00 4.502671230688157222e-01
1.396082944927966807e+00 -1.052347381251644842e+00 4.516516097902588678e-01
1.390153036678323906e+00 -1.055486108022063441e+00 4.530291788130804131e-01
1.384284432645002116e+00 -1.058608905616575058e+00 4.543998798525500371e-01
1.378476169412218288e+00 -1.061715891880345985e+00 4.557637622861805959e-01
1.372727303510181684e+00 -1.064807183790495992e+00 4.571208751531225523e-01
1.367036910906806346e+00 -1.067882897456795988e+00 4.584712671536971262e-01
1.361404086514789391e+00 -1.070943148122603716e+00 4.598149866490477411e-01
1.355827943713475037e+00 -1.073988050166056807e+00 4.611520816609078199e-01
1.350307613885035396e+00 -1.077017717101508287e+00 4.624825998714720554e-01
1.344842245964386729e+00 -1.080032261581138187e+00 4.638065886234150614e-01
1.339431006002493207e+00 -1.083031795396832031e+00 4.651240949199728081e-01
1.334073076742490871e+00 -1.086016429482224099e+00 4.664351654251561730e-01
1.328767657208273167e+00 -1.088986273914968939e+00 4.677398464640420972e-01
1.323513962305056912e+00 -1.091941437919171198e+00 4.690381840231704347e-01
1.318311222431546748e+00 -1.094882029867988438e+00 4.703302237510438855e-01
1.313158683103359259e+00 -1.097808157286456643e+00 4.716160109586740035e-01
1.308055604587221588e+00 -1.100719926854403452e+00 4.728955906202601533e-01
1.303001261545718492e+00 -1.103617444409598303e+00 4.741690073738975553e-01
1.297994942692088038e+00 -1.106500814950958089e+00 4.754363055224207213e-01
1.293035950454906269e+00 -1.109370142641984858e+00 4.766975290342562732e-01
1.288123600652185008e+00 -1.112225530814277885e+00 4.779527215443904464e-01
1.283257222174656098e+00 -1.115067081971186314e+00 4.792019263553929376e-01
1.278436156677939417e+00 -1.117894897791599007e+00 4.804451864384920445e-01
1.273659758283276711e+00 -1.120709079133831887e+00 4.816825444347229701e-01
1.268927393286599425e+00 -1.123509726039645162e+00 4.829140426561197574e-01
1.264238439875580378e+00 -1.126296937738312964e+00 4.841397230870014279e-01
1.259592287854553128e+00 -1.129070812650871058e+00 4.853596273852482934e-01
1.254988338376890944e+00 -1.131831448394378326e+00 4.865737968836892913e-01
1.250426003684741438e+00 -1.134578941786314132e+00 4.877822725914946478e-01
1.245904706855794686e+00 -1.137313388849040763e+00 4.889850951956363212e-01
1.241423881556914077e+00 -1.140034884814337124e+00 4.901823050623895228e-01
1.236982971804406972e+00 -1.142743524128021493e+00 4.913739422388587741e-01
1.232581431730708221e+00 -1.145439400454620005e+00 4.925600464545675239e-01
1.228218725357303143e+00 -1.148122606682120628e+00 4.937406571230620878e-01
1.223894326373689889e+00 -1.150793234926774433e+00 4.949158133435603846e-01
1.219607717922179813e+00 -1.153451376537943052e+00 4.960855539026381988e-01
1.215358392388379283e+00 -1.156097122103010522e+00 4.972499172759399788e-01
1.211145851197186207e+00 -1.158730561452347096e+00 4.984089416299107289e-01
1.206969604614096969e+00 -1.161351783664300585e+00 4.995626648235674261e-01
1.202829171551702103e+00 -1.163960877070236988e+00 5.007111244102898651e-01
1.198724079381175756e+00 -1.166557929259600668e+00 5.018543576396514716e-01
