# sigma, u, d0, d1
8.040441642443828529e-01 4.412263624141087859e-01 -3.316683775608068041e-01 -2.713650361861146276e-01
8.081041084721024559e-01 4.439646214836569516e-01 -3.302385178524725462e-01 -2.701951509702048004e-01
8.122058915500857124e-01 4.467322037845892768e-01 -3.288063740711426597e-01 -2.690233969672984893e-01
8.163501564898258955e-01 4.495295635837948112e-01 -3.273719432025382070e-01 -2.678497717111675835e-01
8.205375594925382599e-01 4.523571644797258484e-01 -3.259352222437897351e-01 -2.666742727449188943e-01
8.247687702968413692e-01 4.552154796451833851e-01 -3.244962082090283584e-01 -2.654968976255686619e-01
8.290444725294424666e-01 4.581049920753232918e-01 -3.230548981296351152e-01 -2.643176439242468923e-01
8.333653640667799678e-01 4.610261948434078438e-01 -3.216112890544893799e-01 -2.631365092264004168e-01
8.377321574080246469e-01 4.639795913645897163e-01 -3.201653780502204949e-01 -2.619534911319985615e-01
8.421455800598637298e-01 4.669656956680310889e-01 -3.187171622014621786e-01 -2.607685872557417572e-01
8.466063749334925559e-01 4.699850326776492393e-01 -3.172666386111050452e-01 -2.595817952272677642e-01
8.511153007542797688e-01 4.730381385018294083e-01 -3.158138044005532885e-01 -2.583931126913617815e-01
8.556731324845763265e-01 4.761255607324280659e-01 -3.143586567099836970e-01 -2.572025373081684996e-01
8.602806617601632677e-01 4.792478587534243495e-01 -3.129011926986039471e-01 -2.560100667534032093e-01
8.649386973408470514e-01 4.824056040595711692e-01 -3.114414095449138387e-01 -2.548156987185658529e-01
8.696480655636562584e-01 4.855993805819361353e-01 -3.099793044403361675e-01 -2.536194309057295815e-01
8.744096108713874660e-01 4.888297850416702395e-01 -3.085148746159134259e-01 -2.524212610493836717e-01
8.792241962375827447e-01 4.920974272802857707e-01 -3.070481173030674693e-01 -2.512211868843279294e-01
8.840927037265983168e-01 4.954029306360683838e-01 -3.055790297601102545e-01 -2.500192061673629507e-01
8.890160350118277988e-01 4.987469323154219425e-01 -3.041076092659751873e-01 -2.488153166721615295e-01
8.939951119234017529e-01 5.021300837801865313e-01 -3.026338531204876281e-01 -2.476095161894898977e-01
8.990308770143482509e-01 5.055530511480099687e-01 -3.011577586446375632e-01 -2.464018025274307411e-01
9.041242941459427529e-01 5.090165156062890217e-01 -2.996793231808531077e-01 -2.451921735116070755e-01
9.092763490930144687e-01 5.125211738402216666e-01 -2.981985440932765075e-01 -2.439806269854080667e-01
9.144880501700030084e-01 5.160677384755335551e-01 -2.967154187680390298e-01 -2.427671608102137391e-01
9.197604288786042082e-01 5.196569385364682159e-01 -2.952299446135424055e-01 -2.415517728656255969e-01
9.250945405778747688e-01 5.232895199196605507e-01 -2.937421190607356070e-01 -2.403344610496927214e-01
9.304914651777126400e-01 5.269662458845381092e-01 -2.922519395633994543e-01 -2.391152232791450283e-01
9.359523078566692744e-01 5.306878975609292670e-01 -2.907594035984264469e-01 -2.378940574896215854e-01
9.414781998050953948e-01 5.344552744745834083e-01 -2.892645086661085330e-01 -2.366709616359069512e-01
9.470702989946678807e-01 5.382691950913475187e-01 -2.877672522904205499e-01 -2.354459336921622958e-01
9.527297909754014471e-01 5.421304973807760108e-01 -2.862676320193089374e-01 -2.342189716521618503e-01
9.584578897012923093e-01 5.460400393999874646e-01 -2.847656454249804514e-01 -2.329900735295294401e-01
9.642558383858048643e-01 5.499986998986232667e-01 -2.832612901041934306e-01 -2.317592373579764331e-01
9.701249103884632685e-01 5.540073789458026532e-01 -2.817545636785483976e-01 -2.305264611915395778e-01
9.760664101338828447e-01 5.580669985800127408e-01 -2.802454637947825455e-01 -2.292917431048221155e-01
